pair,d,lj_atr,lj_rep,fa_atr,fa_rep,total
CH3:OCbb,3.9390415384615385,-0.07889335943990469,0.0,-0.07889335943990469,0.0,-0.07889335943990469
CH3:OCbb,4.00058,-0.0745150751436735,0.0,-0.0745150751436735,0.0,-0.0745150751436735
CH3:OCbb,4.062118461538462,-0.07014714625503486,0.0,-0.07014714625503486,0.0,-0.07014714625503486
CH3:OCbb,4.123656923076923,-0.06586587608703226,0.0,-0.06586587608703226,0.0,-0.06586587608703226
CH3:OCbb,4.185195384615385,-0.06172322796453854,0.0,-0.06172322796453854,0.0,-0.06172322796453854
CH3:OCbb,4.246733846153846,-0.05775313691729768,0.0,-0.05775313691729768,0.0,-0.05775313691729768
CH3:OCbb,4.308272307692308,-0.05397625423340488,0.0,-0.05397625423340488,0.0,-0.05397625423340488
CH3:OCbb,4.369810769230769,-0.05040351471958383,0.0,-0.05040351471958383,0.0,-0.05040351471958383
CH3:OCbb,4.43134923076923,-0.04703881770267547,0.0,-0.04703881770267547,0.0,-0.04703881770267547
CH3:OCbb,4.492887692307693,-0.04388103968871497,0.0,-0.04388103968871497,0.0,-0.04388103968871497
CH3:OCbb,4.554426153846154,-0.04087073652700468,0.0,-0.04087073652700468,0.0,-0.04087073652700468
CH3:OCbb,4.615964615384616,-0.037924232293497395,0.0,-0.037924232293497395,0.0,-0.037924232293497395
CH3:OCbb,4.677503076923077,-0.03504601071316105,0.0,-0.03504601071316105,0.0,-0.03504601071316105
CH3:OCbb,4.739041538461539,-0.03224151853908935,0.0,-0.03224151853908935,0.0,-0.03224151853908935
CH3:OCbb,4.80058,-0.02951620252437659,0.0,-0.02951620252437659,0.0,-0.02951620252437659
